Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
Gadget Geek,Episode 68,59.59,Technology,30.18,Wednesday,Morning,82.63,2,Positive,53.61475385
Home & Living,Episode 5,,Lifestyle,79.35,Monday,Afternoon,71.04,2,Negative,68.04025415
Mystery Matters,Episode 81,62.94,True Crime,29.35,Tuesday,Evening,55.61,0,Neutral,
Market Masters,Episode 67,7.2,Business,36.31,Saturday,Evening,53.86,1,Negative,5.33476733
Sound Waves,Episode 39,20.15,Music,50.34,Monday,Night,6.19,2,Negative,3.40069609
Music Matters,Episode 37,14.76,Music,39.43,Sunday,Morning,17.47,1,Negative,10.71683058
Game Day,Episode 37,83.03,Sports,96.67,Monday,Evening,78.49,3,Neutral,45.75250086
Laugh Line,Episode 64,19.96,Comedy,26.68,Thursday,Night,9.18,2,Neutral,13.62477966
Style Guide,Episode 78,88.34,Lifestyle,68.43,Friday,Evening,75.38,2,Positive,60.82417593
Brain Boost,Episode 44,56.68,Education,21.78,Monday,Morning,98.94,0,Negative,26.96884796
Brain Boost,Episode 29,97.03,Education,92.83,Monday,Afternoon,63.95,1,Positive,75.67622877
Mystery Matters,Episode 31,62.02,True Crime,44.35,Thursday,Evening,32.1,2,Neutral,36.93119637
Innovators,Episode 33,37.37,Technology,73.43,Sunday,Morning,92.07,2,Positive,30.39751527
Humor Hub,Episode 94,43.25,Comedy,33.76,Friday,Evening,40.53,1,Neutral,
Innovators,Episode 94,87.99,Technology,37.89,Sunday,Morning,46.1,2,Negative,61.33405102
True Crime Stories,Episode 24,18.56,True Crime,45.08,Saturday,Morning,43.17,2,Neutral,14.94840832
Health Hour,Episode 94,55.71,Health,87.74,Friday,Evening,40.52,1,Negative,49.09413599
Digital Digest,Episode 45,12.5,Technology,44.61,Sunday,Afternoon,,3,Negative,12.5
Wellness Wave,Episode 78,78.6,Health,42.67,Thursday,Morning,78.08,2,Neutral,37.21056312
Fashion Forward,Episode 51,75.98,Lifestyle,85.48,Friday,Afternoon,23.59,3,Negative,34.93835613
Music Matters,Episode 69,31.05,Music,27.1,Wednesday,Night,20.05,0,Negative,
Current Affairs,Episode 94,41.22,News,56.93,Tuesday,Night,66.21,2,Negative,33.8635266
Mind & Body,Episode 67,63.39,Health,51.03,Saturday,Night,67.06,2,Neutral,32.6569116
Market Masters,Episode 41,86.74,Business,64.27,Monday,Night,19.14,0,Negative,54.30672542
Tune Time,Episode 19,109.47,Music,43.04,Thursday,Morning,89.27,1,Negative,73.49265299
Joke Junction,Episode 31,60.99,Comedy,43.63,Thursday,Afternoon,76.88,1,Negative,27.63739654
Music Matters,Episode 96,,Music,53.98,Tuesday,Morning,45.7,2,Neutral,3.074985022
Athlete's Arena,Episode 62,24.68,Sports,67.7,Saturday,Night,86.96,3,Negative,15.95499126
Business Briefs,Episode 30,,Business,41.27,Wednesday,Night,15.2,3,Negative,64.71363982
Market Masters,Episode 38,108.99,Business,89.01,Saturday,Afternoon,26.39,3,Neutral,86.56814609
Joke Junction,Episode 33,,Comedy,98.71,Wednesday,Morning,,0,Negative,29.78307701
Tune Time,Episode 16,53.81,Music,51.43,Saturday,Evening,38.7,3,Negative,48.28093378
Fitness First,Episode 26,76.81,Health,40.08,Sunday,Morning,88.45,1,Neutral,73.77221573
Finance Focus,Episode 52,119.29,Business,82.98,Thursday,Night,54.2,3,Neutral,102.0249841
Wellness Wave,Episode 81,28.28,Health,97.89,Wednesday,Evening,38.41,3,Neutral,19.70654756
Health Hour,Episode 89,55.05,Health,80.42,Wednesday,Afternoon,51.96,0,Neutral,25.62615895
Comedy Corner,Episode 87,84.68,Comedy,57.72,Saturday,Evening,2.62,3,Neutral,41.72636464
Tech Trends,Episode 48,18.74,Technology,94.65,Wednesday,Night,37.09,0,Neutral,
Comedy Corner,Episode 63,110.26,Comedy,32.3,Thursday,Night,71.29,2,Neutral,
Gadget Geek,Episode 100,39.1,Technology,50.4,Sunday,Morning,30.09,2,Neutral,20.1144206
Fashion Forward,Episode 78,37.32,Lifestyle,47.22,Friday,Morning,18.55,1,Negative,36.88793091
Educational Nuggets,Episode 70,30.97,Education,88.65,Saturday,Morning,40.28,3,Neutral,
Global News,Episode 21,,News,84.15,Friday,Night,,2,Negative,62.4109107
Fitness First,Episode 88,47.5,Health,77.69,Monday,Morning,43.7,3,Neutral,18.20102798
Lifestyle Lounge,Episode 40,50.68,Lifestyle,60.16,Sunday,Afternoon,83.88,3,Negative,22.79277741
Business Briefs,Episode 7,12.35,Business,67.65,Friday,Evening,60.59,0,Positive,12.35
Business Insights,Episode 12,84.89,Business,34.22,Monday,Afternoon,37.69,0,Neutral,42.7844991
Melody Mix,Episode 90,110.61,Music,70.06,Wednesday,Evening,,2,Neutral,96.37775015
Tech Talks,Episode 2,107.88,Technology,77.8,Wednesday,Morning,84.22,3,Neutral,83.28664389
Healthy Living,Episode 86,25.86,Health,22.24,Wednesday,Evening,37.33,0,Neutral,18.34801614
Mind & Body,Episode 63,119.62,Health,93.23,Friday,Night,53.32,0,Negative,78.67166746
Criminal Minds,Episode 57,94.62,True Crime,37.07,Saturday,Afternoon,35.06,1,Neutral,57.91027117
Style Guide,Episode 15,19.55,Lifestyle,34.16,Wednesday,Night,29.12,3,Neutral,2.769905201
Gadget Geek,Episode 87,100.43,Technology,53.17,Thursday,Afternoon,9.78,2,Neutral,50.3907108
Money Matters,Episode 74,34.78,Business,55.6,Tuesday,Night,,2,Positive,30.08868485
Digital Digest,Episode 77,87.23,Technology,74.97,Friday,Morning,26.37,2,Negative,58.93531051
Tech Talks,Episode 21,60.18,Technology,65.96,Tuesday,Evening,21.91,2,Negative,45.6639296
Daily Digest,Episode 20,72.85,News,85.43,Tuesday,Morning,,3,Positive,54.5169097
Study Sessions,Episode 46,22.9,Education,89.41,Wednesday,Evening,92.76,0,Negative,22.9
Mystery Matters,Episode 70,117.85,True Crime,22.05,Monday,Evening,63.16,2,Negative,67.88808609
Sports Central,Episode 91,85.11,Sports,39.68,Saturday,Evening,91.3,2,Positive,75.33876921
Home & Living,Episode 46,99.83,Lifestyle,36.67,Thursday,Night,47.39,0,Negative,81.87412064
Money Matters,Episode 4,50.66,Business,47.88,Friday,Morning,83.5,2,Neutral,34.04484594
Home & Living,Episode 91,63.62,Lifestyle,47.66,Wednesday,Afternoon,,0,Neutral,63.62
News Roundup,Episode 92,31.09,News,20.64,Saturday,Afternoon,1.81,2,Positive,20.83187989
Educational Nuggets,Episode 10,84.62,Education,89.1,Monday,Evening,54.85,2,Negative,41.6235062
Market Masters,Episode 87,111.44,Business,66.38,Wednesday,Evening,,1,Neutral,97.2999417
Sports Weekly,Episode 89,54.76,Sports,25.4,Friday,Night,91.63,1,Negative,43.08785769
Sound Waves,Episode 28,77.14,Music,41.51,Tuesday,Evening,71,3,Negative,47.34943018
Mystery Matters,Episode 57,98.4,True Crime,83.84,Saturday,Evening,10.53,2,Neutral,79.98067016
Global News,Episode 93,,News,80.29,Thursday,Morning,33.86,2,Neutral,30.12143729
Money Matters,Episode 68,82.3,Business,83.38,Sunday,Afternoon,28.24,2,Positive,
Study Sessions,Episode 85,74.7,Education,54.44,Sunday,Morning,2.92,1,Positive,53.99870082
Humor Hub,Episode 34,,Comedy,52.75,Friday,Evening,31.92,3,Positive,59.94212114
Sport Spot,Episode 58,104.77,Sports,36.6,Thursday,Afternoon,32.25,1,Negative,73.40839323
Laugh Line,Episode 42,39.45,Comedy,78.44,Saturday,Morning,50.35,1,Neutral,34.66615493
Innovators,Episode 27,9.48,Technology,32.67,Sunday,Afternoon,13.54,0,Positive,9.48
Sports Weekly,Episode 22,23.38,Sports,75.34,Wednesday,Morning,93.36,3,Positive,7.556534453
Tech Talks,Episode 26,36.93,Technology,84.52,Saturday,Night,1.43,2,Negative,
Money Matters,Episode 23,,Business,32.09,Saturday,Evening,40.39,1,Positive,41.28795004
Detective Diaries,Episode 14,,True Crime,49.94,Monday,Morning,23.04,2,Negative,47.66603754
Tech Talks,Episode 18,113.95,Technology,41.79,Thursday,Afternoon,81.91,0,Positive,91.99878195
Sport Spot,Episode 78,87.68,Sports,59.38,Thursday,Evening,26.07,3,Neutral,51.06344156
Fitness First,Episode 81,95.08,Health,59.84,Tuesday,Night,38.69,1,Negative,93.05897377
Criminal Minds,Episode 97,112.86,True Crime,32.66,Sunday,Night,12.82,0,Negative,69.49241278
Business Briefs,Episode 45,62.21,Business,94.18,Tuesday,Afternoon,25.98,0,Negative,46.70498879
Business Briefs,Episode 84,40.97,Business,49.31,Wednesday,Afternoon,24.97,1,Negative,40.97
Home & Living,Episode 55,49.48,Lifestyle,58.89,Sunday,Afternoon,76.09,2,Negative,33.5539621
Life Lessons,Episode 43,65.71,Lifestyle,82.4,Tuesday,Evening,71.35,2,Neutral,61.16846507
Sport Spot,Episode 54,106.41,Sports,53.7,Friday,Night,95.39,3,Neutral,93.05603927
Current Affairs,Episode 80,80.13,News,44.18,Thursday,Morning,49.39,2,Negative,80.13
Funny Folks,Episode 36,81.41,Comedy,82.11,Tuesday,Morning,90.76,0,Neutral,81.41
Business Insights,Episode 61,84.72,Business,65.3,Monday,Afternoon,76.28,2,Positive,
Detective Diaries,Episode 25,46.65,True Crime,86.52,Monday,Evening,39.1,0,Neutral,31.4200871
Sport Spot,Episode 7,104.11,Sports,54.24,Monday,Afternoon,49.89,0,Neutral,
Innovators,Episode 79,102.32,Technology,82.33,Monday,Afternoon,75.86,0,Neutral,61.13813086
Healthy Living,Episode 84,,Health,44.01,Friday,Morning,23.21,0,Positive,26.87988236
Educational Nuggets,Episode 76,32.77,Education,94.83,Friday,Afternoon,96.75,0,Negative,31.9338101
Educational Nuggets,Episode 9,74.44,Education,83.15,Tuesday,Evening,68.04,1,Positive,74.44
Tune Time,Episode 94,84.9,Music,78.78,Tuesday,Morning,0.83,1,Positive,64.26326208
Digital Digest,Episode 37,62.08,Technology,27.61,Sunday,Evening,,0,Positive,62.08
Money Matters,Episode 81,83.89,Business,99.77,Friday,Morning,,2,Positive,58.7082463
Funny Folks,Episode 47,33.92,Comedy,69.45,Thursday,Morning,55.02,0,Neutral,21.52545174
Educational Nuggets,Episode 26,78.78,Education,34.99,Saturday,Evening,30.59,0,Negative,58.84454143
Athlete's Arena,Episode 39,,Sports,64.16,Tuesday,Night,25.44,3,Neutral,47.04966177
Life Lessons,Episode 33,,Lifestyle,38.14,Sunday,Afternoon,36.63,3,Negative,63.60130765
Humor Hub,Episode 49,105.44,Comedy,81.56,Saturday,Afternoon,,1,Negative,69.86143487
True Crime Stories,Episode 73,90.53,True Crime,45.98,Friday,Evening,19.33,1,Negative,90.53
Style Guide,Episode 83,65.04,Lifestyle,20.4,Tuesday,Morning,88.14,0,Positive,39.89658229
Daily Digest,Episode 57,,News,27.95,Sunday,Evening,99.1,3,Positive,59.15807761
Detective Diaries,Episode 75,40.95,True Crime,34.93,Friday,Morning,72.89,1,Negative,12.81414445
Tune Time,Episode 45,17.49,Music,92.36,Friday,Evening,24.86,0,Positive,9.626016157
Business Insights,Episode 88,25.67,Business,42,Saturday,Morning,26.97,3,Negative,14.5282551
Educational Nuggets,Episode 83,73.61,Education,55.07,Saturday,Night,,2,Positive,59.63374511
Game Day,Episode 2,,Sports,80.04,Monday,Night,36.94,3,Neutral,79.63515659
True Crime Stories,Episode 88,117.14,True Crime,81.71,Thursday,Night,66.28,0,Negative,113.4848742
Humor Hub,Episode 100,63.44,Comedy,41.78,Tuesday,Afternoon,34.67,3,Positive,29.80484546
True Crime Stories,Episode 29,9.47,True Crime,42.59,Sunday,Morning,81.02,3,Positive,
Athlete's Arena,Episode 31,70.2,Sports,80.31,Wednesday,Afternoon,35.6,1,Neutral,70.2
Sound Waves,Episode 87,48.1,Music,87.65,Friday,Morning,30.72,0,Positive,36.50418476
Game Day,Episode 21,11.39,Sports,30.14,Friday,Night,81.17,3,Neutral,11.39
Business Briefs,Episode 12,,Business,71.3,Wednesday,Evening,76.35,3,Neutral,44.91719749
Style Guide,Episode 36,107.47,Lifestyle,90.67,Tuesday,Night,56.34,2,Positive,107.47
Sports Central,Episode 39,100.2,Sports,68.38,Sunday,Night,15.64,3,Positive,65.04233616
Wellness Wave,Episode 21,15.78,Health,58.97,Tuesday,Morning,91.77,2,Negative,
Style Guide,Episode 33,42.74,Lifestyle,51.06,Wednesday,Afternoon,72.73,2,Negative,37.38673813
Mind & Body,Episode 44,54.48,Health,27.34,Friday,Afternoon,5.12,1,Negative,36.91363965
Tech Trends,Episode 91,,Technology,48.46,Friday,Morning,1.84,2,Neutral,
Detective Diaries,Episode 32,,True Crime,41.76,Saturday,Evening,75.34,1,Positive,0
Money Matters,Episode 74,,Business,38.56,Thursday,Afternoon,92.07,2,Positive,31.34
Laugh Line,Episode 69,20.73,Comedy,97.08,Wednesday,Morning,99.08,1,Neutral,20.73
Sports Weekly,Episode 24,63.14,Sports,44.17,Sunday,Morning,36.77,1,Positive,55.63727943
Humor Hub,Episode 72,94.22,Comedy,67.87,Saturday,Morning,30.37,2,Negative,37.53229709
Athlete's Arena,Episode 37,31.56,Sports,99.49,Friday,Afternoon,26.87,1,Neutral,26.35859969
Melody Mix,Episode 25,67.67,Music,50.55,Sunday,Night,97.43,3,Neutral,52.62320035
Comedy Corner,Episode 17,105.35,Comedy,63.06,Friday,Morning,11.93,3,Positive,65.61414349
Music Matters,Episode 7,69.56,Music,67.21,Thursday,Night,65.88,1,Positive,33.0042607
Current Affairs,Episode 49,10.91,News,55.93,Sunday,Morning,67.94,0,Neutral,10.11240373
Brain Boost,Episode 48,60.47,Education,84.83,Saturday,Morning,12.59,2,Neutral,46.32826698
Finance Focus,Episode 77,78.1,Business,73.16,Tuesday,Afternoon,47.12,3,Positive,56.18725955
Brain Boost,Episode 87,31.89,Education,33.42,Monday,Afternoon,71.74,0,Positive,24.33689725
Finance Focus,Episode 32,52.93,Business,70.3,Tuesday,Afternoon,24.37,3,Neutral,
Business Briefs,Episode 81,59.44,Business,34.11,Thursday,Morning,20.72,3,Neutral,48.11667597
Mystery Matters,Episode 31,38.35,True Crime,32.61,Thursday,Evening,33.48,3,Positive,19.87955503
Daily Digest,Episode 69,85.33,News,42.71,Saturday,Night,62.96,1,Positive,
Joke Junction,Episode 17,76.78,Comedy,77.07,Thursday,Afternoon,91.45,0,Negative,
Fitness First,Episode 93,,Health,60.06,Wednesday,Afternoon,72.67,2,Positive,66.93620361
Sport Spot,Episode 84,90.87,Sports,75.47,Sunday,Afternoon,,2,Neutral,
Crime Chronicles,Episode 30,9.69,True Crime,79.51,Tuesday,Afternoon,72.74,2,Neutral,9.69
Home & Living,Episode 67,,Lifestyle,81.93,Saturday,Evening,41.28,3,Negative,46.88495228
Global News,Episode 2,46.73,News,34.65,Tuesday,Evening,64.42,3,Positive,33.83062704
Home & Living,Episode 76,94.29,Lifestyle,44.52,Sunday,Evening,22.49,1,Negative,68.32804061
Gadget Geek,Episode 50,19.93,Technology,65.24,Sunday,Evening,41.82,2,Positive,
Sports Weekly,Episode 78,38.27,Sports,78.47,Monday,Evening,87.87,2,Positive,35.00119845
Detective Diaries,Episode 28,,True Crime,75.2,Monday,Afternoon,9.65,3,Positive,44.70590446
Health Hour,Episode 87,101.78,Health,35.66,Sunday,Afternoon,21.69,3,Positive,59.10150805
Wellness Wave,Episode 52,105.36,Health,78.81,Tuesday,Morning,74.77,0,Positive,49.84729892
Study Sessions,Episode 17,64.22,Education,94.11,Wednesday,Evening,62,1,Negative,47.82135729
Mind & Body,Episode 79,85.48,Health,25.34,Friday,Evening,36.89,2,Negative,64.52173503
Global News,Episode 94,102.76,News,36.74,Thursday,Night,26.07,3,Negative,89.1801771
Joke Junction,Episode 20,66.94,Comedy,45.05,Thursday,Night,39.91,2,Neutral,38.3267038
Educational Nuggets,Episode 25,61.81,Education,92.01,Sunday,Morning,53.58,2,Neutral,
Crime Chronicles,Episode 11,40.15,True Crime,87.89,Wednesday,Morning,86.09,3,Neutral,32.35876975
Current Affairs,Episode 22,66.06,News,26.51,Sunday,Evening,84.57,3,Negative,36.82369229
Educational Nuggets,Episode 46,98.17,Education,55.73,Thursday,Night,72.73,2,Negative,50.92619528
World Watch,Episode 14,77.52,News,31.19,Friday,Afternoon,64.83,2,Negative,46.1002602
Global News,Episode 95,64.04,News,97.86,Sunday,Afternoon,46.41,3,Neutral,39.91277732
Finance Focus,Episode 77,18.08,Business,88.57,Thursday,Afternoon,45.41,1,Positive,9.861641739
Detective Diaries,Episode 69,60.37,True Crime,58.41,Monday,Morning,94.54,3,Positive,
Fashion Forward,Episode 74,,Lifestyle,65.36,Tuesday,Evening,59.94,0,Negative,109.7236471
Humor Hub,Episode 97,83.31,Comedy,55.21,Tuesday,Night,27.44,3,Negative,56.90758194
True Crime Stories,Episode 54,,True Crime,56.92,Sunday,Evening,1.78,3,Neutral,40.35938346
Lifestyle Lounge,Episode 23,48.34,Lifestyle,29.02,Saturday,Night,,0,Neutral,32.36909926
Style Guide,Episode 45,22.74,Lifestyle,76.66,Wednesday,Evening,59.54,1,Positive,6.492090975
Digital Digest,Episode 27,55.56,Technology,64.43,Monday,Evening,,0,Positive,37.20075696
Game Day,Episode 46,,Sports,22.03,Wednesday,Evening,64.54,3,Neutral,
Tech Talks,Episode 19,110.58,Technology,81.79,Tuesday,Morning,84.31,3,Positive,77.07826075
Wellness Wave,Episode 57,85.94,Health,74.86,Friday,Evening,17.6,1,Negative,74.34359725
Life Lessons,Episode 8,114.31,Lifestyle,90.95,Friday,Evening,,3,Positive,90.99129975
Athlete's Arena,Episode 14,94.22,Sports,78.61,Sunday,Night,57.7,2,Positive,70.28957242
Sound Waves,Episode 37,8.1,Music,32.31,Saturday,Night,72.52,3,Negative,
Daily Digest,Episode 62,55.54,News,50.41,Monday,Afternoon,84.2,0,Neutral,47.17723765
Home & Living,Episode 97,90.38,Lifestyle,62.43,Wednesday,Afternoon,49.57,2,Positive,77.13717965
Athlete's Arena,Episode 28,52.42,Sports,49.51,Wednesday,Night,39.15,0,Positive,52.42
Fitness First,Episode 44,73.71,Health,82.33,Monday,Evening,75.66,1,Positive,45.98848195
Home & Living,Episode 34,42.19,Lifestyle,96.26,Monday,Night,8.92,0,Positive,37.33289124
Finance Focus,Episode 79,34.17,Business,31.28,Thursday,Morning,87.26,1,Neutral,33.33099302
Educational Nuggets,Episode 31,119.27,Education,57.16,Sunday,Evening,93.45,3,Neutral,66.42684564
Business Briefs,Episode 45,81.26,Business,70.34,Saturday,Afternoon,13.4,3,Negative,50.02907948
Brain Boost,Episode 75,12.72,Education,28.82,Wednesday,Afternoon,16.14,3,Neutral,
News Roundup,Episode 81,57.03,News,80.55,Saturday,Evening,58.07,2,Positive,51.94959295
Criminal Minds,Episode 68,29.43,True Crime,91.63,Thursday,Morning,24.2,0,Positive,11.00345422
Detective Diaries,Episode 86,100.73,True Crime,53.25,Sunday,Afternoon,75.21,0,Neutral,82.40038211
Healthy Living,Episode 32,,Health,29.46,Wednesday,Night,63.38,1,Negative,16.31186438
Comedy Corner,Episode 80,52.6,Comedy,90.63,Tuesday,Evening,24.38,2,Neutral,29.55734845
Sports Weekly,Episode 28,115.82,Sports,73.24,Tuesday,Morning,,2,Negative,88.07308755
Global News,Episode 34,,News,70.69,Wednesday,Afternoon,96.09,2,Positive,37.31719909
Life Lessons,Episode 5,51.17,Lifestyle,56.54,Wednesday,Evening,49.78,1,Negative,41.85156383
Learning Lab,Episode 54,104.14,Education,72.39,Saturday,Evening,71.46,2,Positive,93.94853963
Comedy Corner,Episode 83,100.49,Comedy,33.5,Saturday,Morning,67.9,0,Negative,
Tune Time,Episode 81,93.83,Music,89.98,Wednesday,Evening,54.39,0,Positive,92.77553189
Sports Central,Episode 11,44.45,Sports,43.2,Tuesday,Afternoon,2.21,3,Neutral,16.79900791
Innovators,Episode 42,9.84,Technology,99.98,Saturday,Morning,26.68,1,Negative,3.928618137
Mind & Body,Episode 15,103.31,Health,36.77,Tuesday,Afternoon,78.98,1,Neutral,64.01594124
Finance Focus,Episode 76,,Business,63.65,Tuesday,Evening,13.61,2,Negative,
News Roundup,Episode 8,91.86,News,33.35,Friday,Evening,91.31,2,Neutral,67.51790491
Mystery Matters,Episode 12,89.05,True Crime,54.05,Saturday,Afternoon,32.05,0,Positive,65.98070464
Funny Folks,Episode 99,11.75,Comedy,80.86,Wednesday,Morning,45.52,0,Neutral,11.75
Detective Diaries,Episode 88,111.53,True Crime,68.7,Monday,Afternoon,80.58,3,Neutral,94.74178639
Music Matters,Episode 3,107.91,Music,83.58,Sunday,Night,86.24,3,Negative,46.06866924
Brain Boost,Episode 98,47.87,Education,80.44,Sunday,Evening,66.42,1,Neutral,39.9660797
Gadget Geek,Episode 80,69.08,Technology,62.44,Saturday,Morning,42.4,3,Neutral,59.5500218
Tech Talks,Episode 79,55.76,Technology,35.82,Monday,Afternoon,22.6,1,Neutral,48.98776386
Current Affairs,Episode 14,105.56,News,23.99,Tuesday,Night,,1,Positive,63.98904572
Current Affairs,Episode 7,29.9,News,83.36,Friday,Evening,27.87,1,Positive,29.9
Humor Hub,Episode 17,46.07,Comedy,27.08,Thursday,Night,89.28,1,Negative,31.9174305
Global News,Episode 59,94.27,News,93.87,Wednesday,Afternoon,19.13,2,Neutral,56.11695479
Finance Focus,Episode 25,10.95,Business,90.62,Sunday,Evening,69.38,0,Negative,10.95
Life Lessons,Episode 50,78.15,Lifestyle,81.39,Friday,Morning,82.41,1,Negative,66.12147261
Sports Central,Episode 97,61.56,Sports,78.09,Wednesday,Night,62.82,1,Positive,57.0504444
Crime Chronicles,Episode 23,6.68,True Crime,62.05,Wednesday,Night,37.65,1,Positive,5.576835436
Brain Boost,Episode 17,28.98,Education,37.13,Friday,Night,58.65,0,Positive,20.41847456
Music Matters,Episode 65,83.03,Music,56.94,Thursday,Evening,98.2,2,Positive,76.21259681
Market Masters,Episode 43,43.52,Business,95.53,Friday,Afternoon,50.56,1,Neutral,24.41714299
True Crime Stories,Episode 50,52.41,True Crime,92.4,Monday,Morning,50.24,0,Positive,28.07426645
Health Hour,Episode 78,83.93,Health,83.48,Tuesday,Night,2.64,3,Positive,45.45470802
Home & Living,Episode 35,79.35,Lifestyle,64.17,Tuesday,Night,6.06,1,Positive,56.35667527
Athlete's Arena,Episode 59,27.43,Sports,95.59,Saturday,Evening,8.04,0,Neutral,14.32553325
Criminal Minds,Episode 47,106.52,True Crime,47.03,Sunday,Afternoon,75.49,3,Negative,64.73088607
Learning Lab,Episode 71,26.88,Education,91.79,Saturday,Afternoon,32.86,0,Neutral,13.33172128
Melody Mix,Episode 69,75.07,Music,91.7,Tuesday,Night,49.62,0,Positive,75.07
Brain Boost,Episode 35,78.29,Education,80.94,Saturday,Night,59.42,1,Positive,78.29
Market Masters,Episode 49,46.53,Business,41.01,Sunday,Night,51.78,1,Positive,31.73039208
Finance Focus,Episode 57,110.08,Business,74.31,Wednesday,Afternoon,13.27,3,Neutral,
Gadget Geek,Episode 8,30.5,Technology,54.71,Saturday,Night,,1,Negative,27.72495053
Home & Living,Episode 80,11.67,Lifestyle,57.55,Tuesday,Morning,77.91,0,Neutral,11.67
Detective Diaries,Episode 26,105.73,True Crime,52.52,Thursday,Evening,24.19,0,Negative,77.50594262
Tech Trends,Episode 85,87.75,Technology,42.46,Saturday,Morning,,2,Positive,64.57088415
Laugh Line,Episode 32,69.16,Comedy,98.61,Wednesday,Night,22.71,2,Positive,38.95683027
Fashion Forward,Episode 5,76.64,Lifestyle,85.75,Wednesday,Night,,1,Neutral,69.47920278
Mind & Body,Episode 89,57.56,Health,95.06,Saturday,Night,,0,Positive,29.29295563
Brain Boost,Episode 58,118.73,Education,66.82,Friday,Morning,35.35,2,Neutral,54.13726494
Melody Mix,Episode 66,115.77,Music,59.34,Tuesday,Evening,79.1,2,Negative,73.89730271
Life Lessons,Episode 76,16.35,Lifestyle,43.48,Sunday,Night,78.3,0,Neutral,12.90320225
Digital Digest,Episode 50,119.08,Technology,67.4,Tuesday,Afternoon,40.2,2,Positive,118.508479
Health Hour,Episode 49,,Health,72.19,Sunday,Afternoon,94.18,2,Negative,7.584610204
Learning Lab,Episode 13,101.89,Education,29.2,Sunday,Afternoon,31.86,1,Negative,100.229115
Learning Lab,Episode 61,96.77,Education,32.59,Friday,Afternoon,8.56,3,Positive,86.18057949
Laugh Line,Episode 48,112.66,Comedy,88.67,Wednesday,Evening,2.48,1,Negative,86.18627122
Athlete's Arena,Episode 31,78.24,Sports,83.97,Sunday,Afternoon,20.7,1,Positive,71.51219792
Learning Lab,Episode 99,76.01,Education,85.26,Thursday,Afternoon,94.62,2,Positive,
Tech Talks,Episode 9,,Technology,48.19,Monday,Afternoon,,1,Neutral,64.55
Laugh Line,Episode 27,36.38,Comedy,50.18,Sunday,Morning,0.29,3,Positive,27.20085776
Fitness First,Episode 59,24.36,Health,44.26,Thursday,Afternoon,,0,Neutral,12.03605322
Fitness First,Episode 52,95.45,Health,61.08,Sunday,Morning,10.12,0,Negative,93.8802184
Sports Weekly,Episode 60,,Sports,71.51,Sunday,Morning,23.25,0,Positive,68.53923397
Tech Talks,Episode 86,57.65,Technology,28.86,Wednesday,Evening,66.32,3,Neutral,31.25489632
Business Insights,Episode 28,26.59,Business,74.33,Tuesday,Afternoon,14.71,3,Positive,20.70899608
Melody Mix,Episode 11,86.92,Music,38.13,Wednesday,Afternoon,61.52,0,Negative,86.92
Life Lessons,Episode 71,81.13,Lifestyle,30.95,Monday,Night,5.3,2,Neutral,64.49245121
Laugh Line,Episode 11,70.72,Comedy,80.54,Monday,Night,55.15,0,Neutral,61.79271905
Life Lessons,Episode 87,104.92,Lifestyle,87.16,Saturday,Morning,17.06,2,Negative,77.69050571
Business Insights,Episode 31,42.64,Business,87.1,Thursday,Night,94.05,2,Negative,39.95192294
Gadget Geek,Episode 86,42.22,Technology,86.78,Wednesday,Night,24.58,3,Negative,
Fashion Forward,Episode 38,71.39,Lifestyle,99.96,Sunday,Evening,23.13,1,Negative,64.55024396
Detective Diaries,Episode 10,11.29,True Crime,39.06,Friday,Evening,5.1,2,Negative,11.29
Healthy Living,Episode 60,60.28,Health,50.42,Tuesday,Night,34.29,3,Positive,
Sports Weekly,Episode 48,30.53,Sports,70.65,Friday,Evening,39.17,3,Negative,
Brain Boost,Episode 20,57.38,Education,59,Thursday,Morning,52.2,0,Positive,33.72799528
Laugh Line,Episode 64,99.24,Comedy,36.02,Wednesday,Evening,,1,Neutral,59.68909748
Style Guide,Episode 79,99.41,Lifestyle,56.25,Monday,Night,26.36,1,Negative,62.52637478
Educational Nuggets,Episode 15,66.24,Education,23.41,Wednesday,Night,,3,Neutral,38.09963675
Crime Chronicles,Episode 51,,True Crime,80.05,Saturday,Evening,87.72,1,Negative,5.847627879
Mind & Body,Episode 73,89.14,Health,51.03,Wednesday,Night,67.41,1,Neutral,89.14
Tech Trends,Episode 72,8.09,Technology,48.77,Wednesday,Evening,78.7,2,Neutral,1.83157559
Sports Central,Episode 74,18.99,Sports,55.79,Sunday,Evening,85.2,1,Positive,7.358025415
Fitness First,Episode 30,6.26,Health,49.26,Thursday,Afternoon,56.53,0,Positive,0
Sound Waves,Episode 77,23.98,Music,31.17,Sunday,Morning,59.98,0,Negative,18.97499424
Style Guide,Episode 51,74.33,Lifestyle,86.32,Saturday,Afternoon,89.68,0,Negative,58.04957608
Market Masters,Episode 94,62.17,Business,65.35,Thursday,Evening,81,3,Positive,34.36703429
Mystery Matters,Episode 82,8,True Crime,80.16,Sunday,Afternoon,72.67,2,Negative,4.678507156
Game Day,Episode 4,52.48,Sports,85.81,Thursday,Morning,64.93,1,Positive,42.83410887
